ObjectiveValue	k1	k2	k3
5929.31	10	0.0001	10
738.437	0.0348778	0.016424	0.000242253
341.471	0.000877255	4.02176	0.00388278
335.404	0.000145865	0.00216397	0.0184197
329.61	0.00211059	0.31059	0.000112267
243.832	3.76676	1.46716	0.0099602
134.471	3.96022	0.946181	0.127457
103.095	0.760806	1.04857	0.294409
103.087	0.312654	0.600627	0.204894
94.3364	0.790295	1.09932	0.229875
85.1179	0.870551	0.825865	0.147738
71.0777	0.76071	0.563471	0.0874099
68.5151	0.569571	0.687268	0.0936352
66.1066	0.359545	0.525018	0.0615464
65.2233	0.370313	0.431638	0.0716053
64.2458	0.530899	0.459371	0.0753149
62.8808	0.383661	0.483744	0.0726385
61.9888	0.505477	0.442921	0.0657474
61.0158	0.539625	0.524968	0.0762565
59.9162	0.509661	0.491438	0.0539636
59.8986	0.483561	0.466876	0.0649019
59.69	0.427239	0.456016	0.0573295
59.4842	0.454614	0.466048	0.061401
59.4175	0.474234	0.449797	0.0541403
59.3586	0.451393	0.459708	0.0541318
59.2325	0.481725	0.47978	0.0584864
59.2108	0.474243	0.4733	0.0583448
59.2098	0.477009	0.470817	0.0576504
59.2087	0.475337	0.472564	0.0577819
59.2086	0.474742	0.471533	0.0578839
59.2086	0.475471	0.472062	0.0579992
59.2084	0.4759	0.472511	0.0578978
59.2084	0.475661	0.472281	0.0579139
59.2084	0.47589	0.472046	0.0578449
59.2083	0.475615	0.472014	0.0578448
59.2083	0.475614	0.471905	0.0577897
59.2083	0.475607	0.471937	0.0578015
59.2083	0.475577	0.471942	0.0578032
59.2083	0.475514	0.471895	0.0578004
59.2083	0.47555	0.471981	0.0578096
59.2083	0.47556	0.471968	0.0578079
59.2083	0.475477	0.471921	0.0578127
59.2083	0.475501	0.471963	0.0578119
59.2083	0.475566	0.471971	0.0578127
59.2083	0.475537	0.471966	0.057817
59.2083	0.475538	0.471964	0.0578138
59.2083	0.475531	0.471943	0.0578088
59.2083	0.475527	0.471944	0.0578109
5929.31	10	0.0001	10
335.864	0.000633511	0.164044	0.126049
143.341	0.0787545	0.226483	0.0331562
136.939	0.170587	0.628186	0.410436
105.175	0.347195	0.360491	0.0001
85.9977	0.295435	0.435539	0.0164858
80.8806	0.316929	0.627835	0.0713482
67.2308	0.488906	0.631374	0.106829
65.6064	0.408114	0.369868	0.0527252
64.8044	0.332541	0.447603	0.0622413
62.2534	0.387477	0.397377	0.0525
60.4798	0.44606	0.50906	0.0590294
60.232	0.487982	0.502001	0.0723342
60.2136	0.492698	0.52457	0.0716267
59.9419	0.457224	0.478939	0.0672981
59.8659	0.491151	0.440838	0.0510965
59.8604	0.445703	0.449771	0.0605838
59.2124	0.472025	0.470746	0.0580688
59.2108	0.476895	0.474539	0.0583939
59.2089	0.477062	0.472188	0.0577112
59.2088	0.474373	0.471673	0.057917
59.2086	0.476256	0.471845	0.0579173
59.2086	0.475789	0.471931	0.0576383
59.2085	0.476043	0.471847	0.0577036
59.2084	0.475373	0.47147	0.0577535
59.2084	0.475164	0.471891	0.0577889
59.2084	0.475811	0.472207	0.0578424
59.2083	0.475367	0.471809	0.0577941
59.2083	0.475627	0.471861	0.057796
59.2083	0.475375	0.471857	0.0577833
59.2083	0.47537	0.471892	0.0577933
59.2083	0.475503	0.471885	0.0578126
59.2083	0.47546	0.471892	0.0578073
59.2083	0.47553	0.471959	0.0578086
59.2083	0.475522	0.471952	0.057812
59.2083	0.47552	0.471945	0.057812
59.2083	0.475531	0.471949	0.0578118
59.2083	0.475527	0.471946	0.0578114
59.2083	0.475536	0.471971	0.0578155
59.2083	0.475515	0.471942	0.0578088
59.2083	0.475532	0.47194	0.0578097
59.2083	0.475521	0.47194	0.0578089
5929.31	10	0.0001	10
337.319	0.0153531	6.89418	0.000846592
315.27	0.0270224	2.47226	1.55863
224.718	0.587154	0.170345	0.000677647
166.261	0.665636	4.91496	2.05511
94.5493	0.655418	1.09484	0.24643
73.109	0.421259	0.689272	0.103596
69.5664	0.32024	0.413583	0.0721167
68.1097	0.418644	0.456627	0.0870331
67.35	0.47839	0.633826	0.0725189
62.1005	0.368849	0.439435	0.0600759
60.8584	0.495155	0.547363	0.0712768
60.086	0.531143	0.46152	0.0576278
59.6951	0.495057	0.452591	0.051019
59.315	0.491007	0.471854	0.0554021
59.2632	0.483688	0.469562	0.0555817
59.2548	0.463926	0.466997	0.0556401
59.2186	0.476527	0.467468	0.0568291
59.2118	0.473793	0.468925	0.0570936
