Estimation	ObjectiveValue	k1	k2	k3
5917	59.2083	0.475527	0.471944	0.0578109
7731	59.2083	0.475521	0.47194	0.0578089
5792	59.2083	0.475534	0.471946	0.057811
7642	59.2083	0.475525	0.471946	0.057811
9333	59.2083	0.475519	0.471946	0.0578111
9286	59.2083	0.475523	0.471943	0.0578099
9511	59.2083	0.475528	0.471945	0.0578104
3388	59.2083	0.475531	0.471948	0.0578116
5229	59.2083	0.475524	0.471955	0.0578122
8448	59.2083	0.475531	0.471956	0.0578128
9107	59.2083	0.475523	0.471946	0.0578111
8517	59.2083	0.475522	0.471943	0.057809
7790	59.2083	0.47553	0.471947	0.0578107
8610	110.741	10	1.4764	0.25124
7509	59.2083	0.475518	0.471956	0.0578126
4696	59.2083	0.475521	0.47194	0.0578104
3002	59.2083	0.475529	0.471948	0.0578118
3052	59.2083	0.475527	0.471947	0.0578111
7284	59.2083	0.475529	0.471949	0.0578111
6660	59.2083	0.475528	0.471944	0.0578108
8992	59.2083	0.475518	0.471945	0.0578111
3633	59.2083	0.475526	0.471945	0.0578101
3311	59.2083	0.475547	0.471963	0.0578125
6260	59.2083	0.47552	0.471949	0.0578112
4030	59.2083	0.475527	0.471952	0.0578096
7722	59.2083	0.475534	0.471956	0.0578138
9578	59.2083	0.475529	0.471945	0.0578113
7359	59.2083	0.475526	0.471946	0.0578093
8318	59.2083	0.475527	0.471946	0.0578115
4624	59.2083	0.47553	0.471948	0.0578077
9377	59.2083	0.475521	0.471937	0.057811
7136	59.2083	0.475518	0.471946	0.0578113
9982	59.2083	0.475531	0.471948	0.0578117
9991	59.2083	0.475523	0.471938	0.0578106
8221	59.2083	0.475527	0.47194	0.0578113
6063	59.2083	0.475533	0.471948	0.0578093
9016	59.2083	0.475527	0.471949	0.0578113
8398	59.2083	0.475531	0.471949	0.0578121
2671	59.2083	0.475527	0.471963	0.0578126
8993	59.2083	0.475517	0.471945	0.0578108
4010	59.2083	0.475526	0.471945	0.0578107
9140	59.2083	0.475528	0.471938	0.05781
5337	59.2083	0.475523	0.471943	0.0578109
7785	59.2083	0.475526	0.471949	0.0578115
5550	59.2083	0.475528	0.471942	0.0578121
9673	59.2083	0.475533	0.471947	0.057811
3378	59.2083	0.475529	0.471949	0.0578107
3994	59.2083	0.475542	0.471946	0.0578114
8411	59.2083	0.47553	0.471946	0.0578116
5679	59.2083	0.475511	0.471942	0.0578097
3570	59.2083	0.475526	0.471945	0.0578105
3090	59.2083	0.475511	0.471947	0.0578124
7278	59.2083	0.475525	0.471945	0.0578107
9733	110.741	10	1.4764	0.25124
8463	59.2083	0.475528	0.471945	0.0578108
4816	59.2083	0.475528	0.471945	0.0578109
6009	59.2083	0.475526	0.471942	0.0578109
4447	59.2083	0.475528	0.471949	0.0578119
2238	59.2083	0.475533	0.471934	0.0578067
7709	59.2083	0.475526	0.471947	0.057811
9148	59.2083	0.475527	0.471947	0.0578109
3710	59.2083	0.475524	0.471945	0.0578094
3742	59.2083	0.475516	0.47194	0.0578098
6494	59.2083	0.475525	0.471947	0.0578107
9835	59.2083	0.475529	0.471946	0.0578111
4860	59.2083	0.475528	0.471941	0.0578109
9969	59.2083	0.475529	0.471944	0.0578109
9856	59.2083	0.475535	0.471946	0.0578111
4269	59.2083	0.475524	0.471943	0.05781
3948	59.2083	0.475527	0.471947	0.0578116
7189	59.2083	0.475524	0.471931	0.0578107
6110	59.2083	0.475526	0.471944	0.0578104
6526	59.2083	0.47553	0.471947	0.0578108
7014	59.2083	0.475526	0.471945	0.0578093
3951	59.2083	0.475526	0.471944	0.0578109
4908	59.2083	0.475536	0.471948	0.0578105
3440	59.2083	0.47552	0.471945	0.0578111
4181	59.2083	0.475525	0.471945	0.0578111
7314	59.2083	0.475528	0.471944	0.0578111
3321	59.2083	0.475524	0.471928	0.0578065
8570	59.2083	0.47553	0.471947	0.0578108
5535	59.2083	0.475527	0.471939	0.0578091
3846	59.2083	0.475527	0.471947	0.0578112
7455	59.2083	0.475515	0.471942	0.0578111
3086	59.2083	0.475533	0.471948	0.0578109
8312	59.2083	0.475546	0.471945	0.0578105
4662	59.2083	0.475526	0.471946	0.0578114
7711	59.2083	0.475527	0.471942	0.0578102
5730	59.2083	0.475526	0.471949	0.0578111
7751	59.2083	0.475527	0.471945	0.0578111
9050	59.2083	0.475536	0.471948	0.0578114
9831	59.2083	0.475527	0.471944	0.0578108
3086	59.2083	0.475531	0.47195	0.0578121
4674	59.2083	0.475518	0.471944	0.0578099
7897	59.2083	0.475526	0.471948	0.0578113
5649	59.2083	0.475526	0.471943	0.0578111
7958	59.2083	0.475534	0.471942	0.0578118
8696	59.2083	0.475528	0.471945	0.0578113
6387	59.2083	0.475527	0.471946	0.0578108
2914	59.2083	0.475535	0.471944	0.0578112
4335	59.2083	0.475526	0.471947	0.0578111
5442	59.2083	0.475527	0.471948	0.0578103
4235	59.2083	0.475538	0.471963	0.057811
9784	59.2083	0.475537	0.471945	0.057811
6544	59.2083	0.475528	0.471949	0.0578103
4713	59.2083	0.475532	0.471948	0.057811
2604	59.2083	0.475534	0.471937	0.0578083
6394	59.2083	0.475523	0.471948	0.0578125
3108	59.2083	0.47553	0.471946	0.0578116
3656	59.2083	0.475528	0.47194	0.0578112
5486	59.2083	0.475528	0.471952	0.0578114
8415	59.2083	0.475527	0.471953	0.0578106
7029	59.2083	0.475529	0.471947	0.0578111
4200	59.2083	0.475527	0.471946	0.0578111
3621	59.2083	0.475524	0.471944	0.0578107
6793	59.2083	0.475519	0.471945	0.0578106
5735	59.2083	0.475525	0.471941	0.0578106
9730	59.2083	0.475529	0.47194	0.05781
5338	59.2083	0.475529	0.471947	0.0578147
4922	59.2083	0.475525	0.471947	0.0578106
8887	59.2083	0.475527	0.471946	0.0578111
8487	59.2083	0.475524	0.471943	0.0578116
5922	59.2083	0.475524	0.471943	0.0578118
8388	59.2083	0.475525	0.471942	0.0578101
7499	59.2083	0.475529	0.471948	0.0578111
3883	59.2083	0.475533	0.471947	0.057812
5737	59.2083	0.475539	0.471949	0.0578088
4397	59.2083	0.475528	0.471946	0.0578113
7923	59.2083	0.475521	0.471944	0.057811
8922	59.2083	0.475523	0.471942	0.0578101
6424	59.2083	0.475528	0.471947	0.0578109
5607	59.2083	0.475526	0.471942	0.0578101
9569	59.2083	0.475524	0.471948	0.0578113
7193	59.2083	0.475528	0.471946	0.0578112
9187	59.2083	0.47553	0.47195	0.0578121
9129	59.2083	0.475524	0.471946	0.0578109
7315	59.2083	0.475528	0.471949	0.0578112
8291	59.2083	0.475526	0.471947	0.05781
6723	59.2083	0.475527	0.471945	0.057811
7405	59.2083	0.475526	0.471944	0.0578103
6147	59.2083	0.475532	0.471944	0.0578101
8928	59.2083	0.475528	0.471938	0.0578109
6478	59.2083	0.475524	0.471948	0.0578116
7551	59.2083	0.4755	0.471933	0.0578081
5361	59.2083	0.475521	0.471946	0.057811
7759	59.2083	0.475526	0.471945	0.057811
8287	59.2083	0.475538	0.471952	0.0578109
7648	59.2083	0.475527	0.471946	0.0578116
9890	59.2083	0.475525	0.471945	0.0578107
3972	59.2083	0.475528	0.471947	0.0578119
5792	59.2083	0.475525	0.471946	0.05781
7157	59.2083	0.475541	0.471961	0.0578119
8105	59.2083	0.475518	0.471942	0.0578111
