Time	IR_beta_pY1146	IRbetaPercent	InsulinPercent
2	0	0	0
2	0	1	0
2	0	2	0
2	0	3	0
2	0	4	0
2	0	5	0
2	0	6	0
2	0	7	0
2	0	8	0
2	0	9	0
2	0	10	0
2	0	11	0
2	0	12	0
2	0	13	0
2	0	14	0
2	0	15	0
2	0	16	0
2	0	17	0
2	0	18	0
2	0	19	0
2	0	20	0
2	0	21	0
2	0	22	0
2	0	23	0
2	0	24	0
2	0	25	0
2	0	26	0
2	0	27	0
2	0	28	0
2	0	29	0
2	0	30	0
2	0	31	0
2	0	32	0
2	0	33	0
2	0	34	0
2	0	35	0
2	0	36	0
2	0	37	0
2	0	38	0
2	0	39	0
2	0	40	0
2	0	41	0
2	0	42	0
2	0	43	0
2	0	44	0
2	0	45	0
2	0	46	0
2	0	47	0
2	0	48	0
2	0	49	0
2	0	50	0
2	0	51	0
2	0	52	0
2	0	53	0
2	0	54	0
2	0	55	0
2	0	56	0
2	0	57	0
2	0	58	0
2	0	59	0
2	0	60	0
2	0	61	0
2	0	62	0
2	0	63	0
2	0	64	0
2	0	65	0
2	0	66	0
2	0	67	0
2	0	68	0
2	0	69	0
2	0	70	0
2	0	71	0
2	0	72	0
2	0	73	0
2	0	74	0
2	0	75	0
2	0	76	0
2	0	77	0
2	0	78	0
2	0	79	0
2	0	80	0
2	0	81	0
2	0	82	0
2	0	83	0
2	0	84	0
2	0	85	0
2	0	86	0
2	0	87	0
2	0	88	0
2	0	89	0
2	0	90	0
2	0	91	0
2	0	92	0
2	0	93	0
2	0	94	0
2	0	95	0
2	0	96	0
2	0	97	0
2	0	98	0
2	0	99	0
2	0	100	0
2	0	0	1
2	0.0010138	1	1
2	0.0020276	2	1
2	0.0030414	3	1
2	0.0040552	4	1
2	0.00506901	5	1
2	0.00608281	6	1
2	0.00709661	7	1
2	0.00811041	8	1
2	0.00912421	9	1
2	0.010138	10	1
2	0.0111518	11	1
2	0.0121656	12	1
2	0.0131794	13	1
2	0.0141932	14	1
2	0.015207	15	1
2	0.0162208	16	1
2	0.0172346	17	1
2	0.0182484	18	1
2	0.0192622	19	1
2	0.020276	20	1
2	0.0212898	21	1
2	0.0223036	22	1
2	0.0233174	23	1
2	0.0243312	24	1
2	0.025345	25	1
2	0.0263588	26	1
2	0.0273726	27	1
2	0.0283864	28	1
2	0.0294002	29	1
2	0.030414	30	1
2	0.0314278	31	1
2	0.0324416	32	1
2	0.0334554	33	1
2	0.0344692	34	1
2	0.035483	35	1
2	0.0364968	36	1
2	0.0375106	37	1
2	0.0385244	38	1
2	0.0395382	39	1
2	0.040552	40	1
2	0.0415659	41	1
2	0.0425797	42	1
2	0.0435935	43	1
2	0.0446073	44	1
2	0.0456211	45	1
2	0.0466349	46	1
2	0.0476487	47	1
2	0.0486625	48	1
2	0.0496763	49	1
2	0.0506901	50	1
2	0.0517039	51	1
2	0.0527177	52	1
2	0.0537315	53	1
2	0.0547453	54	1
2	0.0557591	55	1
2	0.0567729	56	1
2	0.0577867	57	1
2	0.0588005	58	1
2	0.0598143	59	1
2	0.0608281	60	1
2	0.0618419	61	1
2	0.0628557	62	1
2	0.0638695	63	1
