Time	IR_beta	IR_beta_pY1146
0	13.2486	0
0.2	12.0468	1.14609
0.4	10.9553	2.08505
0.6	9.96497	2.8451
0.8	9.06735	3.45115
1	8.25466	3.92512
1.2	7.51964	4.28628
1.4	6.85557	4.55152
1.6	6.25625	4.73563
1.8	5.71594	4.85153
2	5.22935	4.91047
2.2	4.79161	4.92223
2.4	4.39826	4.89528
2.6	4.04518	4.83695
2.8	3.7286	4.75354
3	3.44509	4.65046
3.2	3.19148	4.53233
3.4	2.96489	4.4031
3.6	2.76269	4.26608
3.8	2.58247	4.12409
4	2.42207	3.97946
4.2	2.27948	3.83413
4.4	2.15291	3.68971
4.6	2.04072	3.54748
4.8	1.94143	3.40849
5	1.85368	3.27354
5.2	1.77626	3.14327
5.4	1.70808	3.01815
5.6	1.64813	2.89849
5.8	1.59554	2.78452
6	1.54948	2.67634
6.2	1.50923	2.574
6.4	1.47415	2.47747
6.6	1.44364	2.38667
6.8	1.41719	2.30146
7	1.39431	2.2217
7.2	1.3746	2.1472
7.4	1.35766	2.07774
7.6	1.34318	2.01313
7.8	1.33084	1.95312
8	1.32039	1.89748
8.2	1.31158	1.84598
8.4	1.3042	1.79839
8.6	1.29807	1.75448
8.8	1.29303	1.71401
9	1.28892	1.67678
9.2	1.28561	1.64256
9.4	1.283	1.61116
9.6	1.28099	1.58238
9.8	1.27948	1.55604
10	1.2784	1.53195
