Time	IR_beta	IR_beta_pY1146
0	4.96821	0
0.2	4.51757	0.429786
0.4	4.10825	0.781893
0.6	3.73686	1.06691
0.8	3.40026	1.29418
1	3.0955	1.47192
1.2	2.81986	1.60735
1.4	2.57084	1.70682
1.6	2.34609	1.77586
1.8	2.14348	1.81932
2	1.961	1.84143
2.2	1.79685	1.84584
2.4	1.64935	1.83573
2.6	1.51694	1.81386
2.8	1.39823	1.78258
3	1.29191	1.74392
3.2	1.1968	1.69962
3.4	1.11183	1.65116
3.6	1.03601	1.59978
3.8	0.968427	1.54653
4	0.908275	1.4923
4.2	0.854806	1.4378
4.4	0.807343	1.38364
4.6	0.765271	1.33031
4.8	0.728035	1.27818
5	0.695129	1.22758
5.2	0.666098	1.17873
5.4	0.640529	1.13181
5.6	0.618051	1.08693
5.8	0.598326	1.04419
6	0.581055	1.00363
6.2	0.565963	0.965251
6.4	0.552807	0.929052
6.6	0.541367	0.895
6.8	0.531446	0.863049
7	0.522867	0.833138
7.2	0.515474	0.805199
7.4	0.509124	0.779154
7.6	0.503693	0.754922
7.8	0.499066	0.732418
8	0.495146	0.711554
8.2	0.491842	0.692243
8.4	0.489076	0.674397
8.6	0.486778	0.657929
8.8	0.484885	0.642755
9	0.483344	0.628792
9.2	0.482105	0.615962
9.4	0.481127	0.604187
9.6	0.480371	0.593394
9.8	0.479804	0.583514
10	0.479399	0.57448
